date,a,b,rho,m,sigma
2026-06-01,0.0005238938802694402,0.01786294839006373,-0.517811342260306,-0.0022733551647390014,0.11603363461727197
2026-06-02,0.0006311154579140409,0.01761683198890653,-0.5302212033551309,0.00017585687701263808,0.1174610170878065
2026-06-03,0.0005566809266358117,0.0176021973017036,-0.5163153916786918,-0.0065452140694836755,0.11563043959566653
2026-06-04,0.0004535167529857602,0.01668133352559298,-0.5210170998854795,-0.012882447401670107,0.11671554709060272
2026-06-05,0.0004385619193562045,0.015422954543276407,-0.5317909509788783,-0.013124953562162069,0.11716879236721102
2026-06-08,0.0004003416271678037,0.01493369510233513,-0.5479676924296999,-0.007820460497716761,0.11393865504336115
2026-06-09,0.00047109264807764254,0.014641895426878363,-0.5502017124040505,-0.00726814004082354,0.11419378998525474
2026-06-10,0.00047718030584021124,0.01532131843532933,-0.5811441741246023,-0.0029712278790858396,0.11467136512717786
2026-06-11,0.0006372067228982314,0.015702468387723156,-0.6051291533063039,-0.0025986409905345113,0.11697841191940499
2026-06-12,0.0006918497584054182,0.015669179055848057,-0.5917853992068476,0.0045939685391635275,0.11427532553868835
2026-06-15,0.0006547851800860613,0.015732813192494133,-0.6155292920547188,0.001697460321389797,0.11349054045112263
2026-06-16,0.0007464032258806707,0.015071048447170788,-0.6314221722652356,0.004931977244067198,0.10552084946058796
2026-06-17,0.0007386213384266112,0.015699552548264648,-0.6176342375600452,0.003295908428149673,0.10404649964829345
2026-06-18,0.000860446602547156,0.015485721133269638,-0.6236997793246306,0.005058973286563874,0.10356595532794613
2026-06-19,0.0007713772383856817,0.015479782868952763,-0.6325793097284992,0.010889494652572749,0.10617582086067044
2026-06-22,0.0008248479712700913,0.015309847213760032,-0.6115368334368594,0.010862495963604458,0.10850933701903243
2026-06-23,0.0008525820824238703,0.014465746070140229,-0.6522433660179553,0.009340112554996687,0.10490963997314139
2026-06-24,0.0010321628102920788,0.014049883851704371,-0.6647222708427439,0.010367131622445454,0.10688168383755234
2026-06-25,0.0010157016108415602,0.01440107481796434,-0.6543261014303687,0.005198723135078932,0.10656434030332657
2026-06-26,0.0009313295569773808,0.01453103509491591,-0.6714832320717736,0.010059086234791141,0.107335945832062
2026-06-29,0.0008840473029105617,0.014471730099922522,-0.7114381663527196,0.004402048752390621,0.10878730340579511
2026-06-30,0.0009517760273865953,0.01359868173063068,-0.6963034034270457,0.00017456347992974815,0.11190326576186888
2026-07-01,0.0008288490571245408,0.014223194914368,-0.6674721869260027,-0.00015447719400193312,0.11080666485686774
2026-07-02,0.0007507348759371639,0.014772801639390976,-0.6783135004025294,-0.00041005894859875487,0.10763806029135757
2026-07-03,0.0006486698581456454,0.01540085983842336,-0.6814193503699079,0.004419105389648239,0.10768460725535685
2026-07-06,0.0006224642078251101,0.015120968635400195,-0.6812496675517928,0.0025428607902127282,0.10648802682968914
2026-07-07,0.0005578725787918961,0.015948138006441948,-0.6946680838131396,-0.0027275839876972,0.1078392038756916
2026-07-08,0.0004415946189856197,0.015843736389345765,-0.7073153870049966,-0.011532705482186097,0.11077703770684252
2026-07-09,0.0004472753751938769,0.015467695573278761,-0.6982151509356179,-0.01422928534484457,0.11020696814210038
2026-07-10,0.00035002135796496523,0.01613534807637328,-0.7083617235596793,-0.012770791397254065,0.11007028382100904
2026-07-13,0.00030938478093688737,0.016450388168031946,-0.7143991386586006,-0.01352800892230723,0.11015915307784599
2026-07-14,0.0003638257583136836,0.016641687967781343,-0.725670578871293,-0.020437852172022385,0.11395726858848995
2026-07-15,0.00035256906362003383,0.016912629966776303,-0.7100417151094809,-0.016281930034633588,0.117642803468582
2026-07-16,0.0004737668936383692,0.016289333464877567,-0.6928072526573147,-0.013812269670312466,0.12113728026124576
2026-07-17,0.0005925222488221663,0.015716745917359772,-0.7265806426763545,-0.009727824833317996,0.11707724362727723
2026-07-20,0.0006597007100669112,0.014894846395779428,-0.7687802904805917,-0.008431329295697308,0.11725477503662911
2026-07-21,0.0006627463698806134,0.014464706602944768,-0.7990439531351486,-0.009264649806637007,0.11336969783185147
2026-07-22,0.0007032309119487549,0.014433912309880248,-0.790918460520575,-0.01421109489318999,0.11073604522766717
2026-07-23,0.0006323042332935408,0.014531600961008613,-0.8065787004280015,-0.01243075091293104,0.11209484181674753
2026-07-24,0.0005208817409188666,0.01497555067296635,-0.8083685199342295,-0.012500898690355172,0.10629536089068804
